compound_id,name_ja,name_en,formula,image,memo,range_level
cmp_068,トルエン,toluene,C6H5CH3,toluene.png,,3.0
cmp_069,o-キシレン,o-xylene,C6H4(CH3)2,o-xylene.png,,3.0
cmp_070,フタル酸,phthalic acid,C6H4(COOH)2,phthalic acid.png,,3.0
cmp_071,シクロヘキサン,cyclohexane,C6H12,cyclohexane.png,,1.0
cmp_072,ヘキサクロロシクロヘキサン,hexachlorocyclohexane,C6H6Cl6,hexachlorocyclohexane.png,,1.0
cmp_073,m-キシレン,m-xylene,C6H4(CH3)2,m-xylene.png,,3.0
cmp_074,イソフタル酸,isophthalic acid,C6H4(COOH)2,isophthalic acid.png,,3.0
cmp_076,p-キシレン,p-xylene,C6H4(CH3)2,p-xylene.png,,3.0
cmp_077,テレフタル酸,terephthalic acid,C6H4(COOH)2,terephthalic acid.png,,3.0
cmp_078,アニリン塩酸塩,aniline hydrochloride,C6H5NH3Cl,aniline hydrochloride.png,,3.0
cmp_079,ベンゼンスルホン酸,benzenesulfonic acid,C6H5SO3H,benzenesulfonic acid.png,,3.0
cmp_080,クロロベンゼン,chlorobenzene,C6H5Cl,chlorobenzene.png,,3.0
cmp_082,ナトリウムフェノキシド,sodium phenoxide, C6H5ONa,sodium phenoxide.png,OとNaを結合線(価標)で結ばない,3.0
cmp_083,サリチル酸ナトリウム,sodium salicylate,C6H5(OH)COONa,sodium salicylate.png,OとNaを結合線(価標)で結ばない,3.0
cmp_084,"2,4,6-トリブロモフェノール","2,4,6-tribromophenol",C6H2(OH)Br3,"2,4,6-tribromophenol.png",,3.0
cmp_085,サリチル酸,salicylic acid,C6H4(OH)COOH,salicylic acid.png,,3.0
cmp_086,塩化ベンゼンジアゾニウム,benzenediazonium chloride,C6H5N2Cl,benzenediazonium chloride.png,,3.0
cmp_087,ピクリン酸,picric acid,C6H2(NO2)3OH,picric acid.png,,3.0
cmp_088,アセトアニリド,acetanilide,C6H5NHCOCH3,acetanilide.png,,3.0
cmp_089,p-フェニルアゾフェノール,p-hydroxyazobenzene,C13H10N2O,p-hydroxyazobenzene.png,,3.0
cmp_090,酢酸フェニル,phenyl acetate,C6H5OCOCH3,phenyl acetate.png,,3.0
cmp_091,アセチルサリチル酸,acetylsalicylic acid,C6H4(COOH)OCOCH3,acetylsalicylic acid.png,,3.0
cmp_092,サリチル酸メチル,methyl salicylate,C6H5(OH)COOCH3,methyl salicylate.png,,3.0
cmp_093,o-クレゾール,o-cresol,C6H4(OH)CH3,o-cresol.png,,3.0
cmp_094,安息香酸エチル,ethyl benzoate,C6H5COOC2H5,ethyl benzoate.png,,3.0
cmp_095,ベンゼンスルホン酸ナトリウム,sodium benzenesulfonate,C6H5SO3Na,sodium benzenesulfonate.png,OとNaを結合線(価標)で結ばない,3.0
